,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,10,9,2,1,1,0,140,368,52.57,93.4,4,0
1,2009,12,12,1,0,5,0,97,480,43.64,75.95,6,0
2,2010,15,15,1,5,4,0,129,1058,75.57,104.24,6,0
3,2011,15,15,1,2,5,1,116*,632,45.14,88.02,1,0
4,2012,10,9,1,2,4,0,150,678,84.75,90.76,6,0
5,2013,23,22,0,2,4,1,122,838,38.09,84.56,17,0
6,2014,18,18,1,5,2,0,122*,892,52.47,80.58,9,0
7,2015,23,23,2,4,3,0,159,1062,50.57,94.91,14,0
8,2016,14,14,1,2,2,1,127,511,39.31,88.87,6,0
9,2017,18,18,1,3,4,0,154,862,50.71,88.41,12,0
10,2018,11,11,0,0,2,1,71,315,28.64,91.3,2,0
11,2019,5,5,1,1,1,0,108*,214,53.5,86.64,0,0
12,Overall (12),174,171,12,27,37,4,159,7910,49.75,89.23,83,0
